1,【1】青き大空に 今、勝利の華を 輝くその翼で 示せよ京田 【2】オイ! オイ! 京田! オイ! オイ! そーれ!,https://www.dropbox.com/s/na74nt94xo5y6uu/%E4%BA%AC%E7%94%B0%E9%99%BD%E5%A4%AA.mp3?dl=1,1,2020/2/13 13:08,2020/2/13 13:08,1,1
2,球は伸びゆく永遠に 頂きへ 更なる高み 行け周平,https://www.dropbox.com/s/aze0azrsiqrt92v/%E9%AB%98%E6%A9%8B%E5%91%A8%E5%B9%B3.mp3?dl=1,3,2020/2/13 13:57,2020/2/13 13:57,2,1
3,勝利のアーチをかけろ スピード生かして攻めろ 我らの想いのせて 輝く明日へ,https://www.dropbox.com/s/cuorw4ibnjq91zy/%E8%97%A4%E4%BA%95%E6%B7%B3%E5%BF%97.mp3?dl=1,4,2020/2/13 14:00,2020/2/13 14:00,3,1
4,鍛えた技で 魅せろ力の限り 新たな時代へと 今スタート,https://www.dropbox.com/s/jl75fimep4fhs3y/%E9%98%BF%E9%83%A8%E5%AF%BF%E6%A8%B9.mp3?dl=1,5,2020/2/13 14:00,2020/2/13 14:00,4,1
5,チームを勝利へ誘え 全力プレーで Let's go 平田 行こうぜ 歓喜の瞬間へと,https://www.dropbox.com/s/svbevjx1saavicz/%E5%B9%B3%E7%94%B0%E8%89%AF%E4%BB%8B.mp3?dl=1,6,2020/2/13 14:02,2020/2/13 14:02,5,1
6,【前奏：オーオオー…】覇道極める男 今だ魅せてやれ根尾昂 その名響かせて いざ終わりなき道をゆく,https://www.dropbox.com/s/cq2qfaefnieulf1/%E6%A0%B9%E5%B0%BE%E6%98%82.mp3?dl=1,7,2020/2/13 14:04,2020/2/13 14:04,6,1
7,飛び出せ大島 疾風のごとく その手でチャンスを 切り開け,https://www.dropbox.com/s/bzurtzwdorvqwjm/%E5%A4%A7%E5%B3%B6%E6%B4%8B%E5%B9%B3.mp3?dl=1,8,2020/2/13 14:05,2020/2/13 14:05,7,1
8,【前奏：輝きを放て 遠藤一星】そのプレーで セ界一世風靡しろ 燦爛と今輝く 一番星よ,https://www.dropbox.com/s/1n8h39697m6psd1/%E9%81%A0%E8%97%A4%E4%B8%80%E6%98%9F.mp3?dl=1,23,2020/2/13 14:06,2020/2/13 14:06,8,1
9,強肩武器に 強気で攻めろ 息吹け 大野奨太,https://www.dropbox.com/s/cjnyjrzgh4g28ui/%E5%A4%A7%E9%87%8E%E5%A5%A8%E5%A4%AA.mp3?dl=1,27,2020/2/13 14:06,2020/2/13 14:06,9,1
10,強く逞しい 頼れるナイスガイ 巧みなその一振りで 栄光へ進め,https://www.dropbox.com/s/3t70ndaakx97kpi/%E3%82%BD%E3%82%A4%E3%83%AD%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%A2%E3%83%B3%E3%83%86.mp3?dl=1,42,2020/2/13 14:07,2020/2/13 14:07,10,1
11,闘志を燃やせ 気迫で守り抜け 勝利の歓声 受けて羽ばたけ,https://www.dropbox.com/s/44r2pe24gmdo5oz/%E5%8A%A0%E8%97%A4%E5%8C%A0%E9%A6%AC.mp3?dl=1,52,2020/2/14 14:07,2020/2/14 14:07,11,1
12,雄々しく構えた その姿 迷いなく振れ 福田永将,https://www.dropbox.com/s/x7l3uvt4mvjls4w/%E7%A6%8F%E7%94%B0%E6%B0%B8%E5%B0%86.mp3?dl=1,55,2020/2/13 14:09,2020/2/13 14:09,12,1
13,勇敢に立ち向かえ 一打にかける想い 魅せろ 放て 頼むぞ直倫,https://www.dropbox.com/s/mvsnk5k6tu3yxh8/%E5%A0%82%E4%B8%8A%E7%9B%B4%E5%80%AB.mp3?dl=1,63,2020/2/13 14:10,2020/2/13 14:10,13,1
14,期待を背に受けて 飛ばせ遠く 今放つアーチ 世界を翔けろ,https://www.dropbox.com/s/vshrsuqynl4e9tu/%E3%83%80%E3%83%A4%E3%83%B3%E3%83%BB%E3%83%93%E3%82%B7%E3%82%A8%E3%83%89.mp3?dl=1,66,2020/2/13 14:10,2020/2/13 14:10,14,1
15,遥か連なり 愛織り成す光 栄光へと導け その強肩で,https://www.dropbox.com/s/mjcuysnb28prdk1/%E6%A1%82%E4%BE%9D%E5%A4%AE%E5%88%A9.mp3?dl=1,68,2020/2/13 14:11,2020/2/13 14:11,15,1
16,好守に巧打 結果を見せつけて 輝く道を 駆け抜けろ尚輝,,29,,,16,2
17,遠く強く飛ばせ 振り抜け 走り出せ 飛び込め つかみ取れ 魅せる男 陽岱鋼,,2,,,17,2
18,吠えろ中島 不屈の戦士 狙い定め 叩け 振り抜け さあ勝利の雄叫びだ,,5,,,18,2
19,"【前奏：オオオ… オー燃えろ】
誰よりも強く勇ましく オオオ… お前が立つその場所は熱気の渦が巻く 坂本 炎となれ",,6,,,19,2
20,誰より強く さらなる高みへ この大歓声が 君の味方だ さあ我らと行こう 丸佳浩,,8,,,20,2
21,どこまでも駆け抜けろ 地平の彼方目指し 亀井ガムシャラに 追い続けろ,,9,,,21,2
22,今魅せろ強肩を 扇の要 夢バットに託し 戦え小林,,22,,,22,2
23,"【前奏：歴史を築け 岡本和真】
夢あふれるフィールド その名刻め岡本 スタンド湧かす 永遠のアーチ",,25,,,23,2
24,背中で語る 漢の生き様 恐れずに突き進み 輝け銀仁朗,,27,,,24,2
25,豪快スイングで お前が打線の起爆剤 我等の導火線に 火をつけてくれ慎吾,,36,,,25,2
26,立ち向かえ 羽ばたけ 夢と希望握りしめ バットで脚でGO! GO! GO! かき回せ,,39,,,26,2
27,風をその背に受け 駆け抜けろ重信 突撃進撃 疾風迅雷,,43,,,27,2
28,鋭いまなざし 満ちあふれる男気 魅せろパワー フルスイング ぶち込め大城,,24,,,28,2
29,ボールに乗せた 僕らの希望 俊太が打ち高く高く 未来描く,,51,,,29,2
30,授かりしその力で 描いた景色は 横浜で輝く おのれの勇姿,,0,,,30,3
31,今だクワ喰らいつけ 燃えろガッツマン 突っ走れどこまでも 勝利を呼ぶ男,,1,,,31,3
32,勝負がかかる しびれる瞬間 流れを我らに アニモ ロペス,,2,,,32,3
33,新たな歴史に その名を刻め 梶谷隆幸 蒼い韋駄天,,3,,,33,3
34,かっとばせ 見せろ男意気 さあ打つぞ 勝利へ導け,,5,,,34,3
35,琉球の波に乗って 潮風を背に受け 冴えわたる神業 オー島人の星,,8,,,35,3
36,敵はすぐ目の前だ 大いなる闘志燃やせ 響け和の魂 輝ける未来へ,,9,,,36,3
37,奮い立て横浜の大黒柱よ さぁ打て飛ばせ 勝利への 扉を開け,,10,,,37,3
38,歓喜の瞬間を その手で創るため 高鳴る胸に秘められた 覚悟を示す時,,29,,,38,3
39,狙い澄ましたミートと 巧みなグラブ捌きは 努力というかけらの 結晶の証だ,,31,,,39,3
40,Oh 横浜の誇り 胸に抱いて 道を切り開けニコ,,33,,,40,3
41,夢見た舞台で 秘めたその力 花を咲かせよう 星つなぐストーリー,,37,,,41,3
42,積み上げたものを今 プレーで示せ 横浜の守り神 嶺井博希,,39,,,42,3
43,栄冠掴むその日まで 恐れず飛び込めベースへ 君の熱き血潮で 燃えろ! 雄洋!,,42,,,43,3
44,さぁ振り抜け宮﨑 気迫あふれるパワーで 夢描け鮮やかに 空高く,,51,,,44,3
45,Going on ソト! Touch'em all ソト! 君は嵐のカリビアン 見せつけてやれ パワフルスイング,,99,,,45,3
46,Oh! Oh! 博紀 上本博紀 猛虎の嵐よ今こそ 吹き荒れろ,,00,,,46,4
47,熱き心 乗せたスイング 行くぞ木浪 勝利目指せ,,0,,,47,4
48,この道の先には 虎の希望がある 今こそ進めよ 燃えろ北條,,2,,,48,4
49,悠然と振り構えたバットに 我らの夢を乗せて スタンドへはじき返せ 栄光つかむその日まで,,3,,,49,4
50,切り拓け 勝利への道 打てグラウンド駆けろ 燃えろ近本,,5,,,50,4
51,"【前奏：輝く栄冠 突き進めこの道】
鋭いまなざし 猛虎の魂 力の限り 戦え糸井",,7,,,51,4
52,唸るスイング 切り裂くアーチ ほえろ孝介 勝負を決めろ,,8,,,52,4
53,行くぞ白球乗せて 切り拓け 魅せろ高山熱き 猛虎魂,,9,,,53,4
54,狙いを定め 強気で攻めろ お前の時代を築け さぁぶちかませ,,12,,,54,4
55,迫る速球に 魂で応えろ 打球をはるか彼方へ 飛ばせ江越,,25,,,55,4
56,力の限り 魅せろよマルテ 打てよ遥か遠く Let’s Go Let’s Go マルテ,,31,,,56,4
57,"【A】誰にも劣らぬ ハートの強い男 我武者羅に走り抜け 果敢な戦士
【B】凛々しく 泥臭く 斬り込め全力で 気力込めて 今ここで 燃えさかれ",,33,,,57,4
58,豪快なパワーで 魅せろ ジャスティン・ボーア 飛ばせ遥か遠く 勝利の為に,,41,,,58,4
59,気迫のスイング 燃えろよ梅野 どでかいアーチ 勝利への一撃,,44,,,59,4
60,日々の努力を積み重ね 今迎えるこの舞台 歓喜呼び込むその姿 隼太の独壇場,,51,,,60,4
61,打て飛ばせジェリー 力強い一打 レフトへライトへ ホームランジェリー,,52,,,61,4
62,スタンド目指し描く 放物線 逆風切り裂くパワー 行くぞ勝利へ,,55,,,62,4
63,"【前奏：ラーラララー…】
天高く 打ち込め中谷 いざ大空に アーチ描け",,60,,,63,4
64,俊足巧打の 走る稲妻 さあ行け俊介 今駆け抜けろ,,68,,,64,4
65,ここに立つ為に 鍛え抜いた日々よ 原口のすべて 魅せろ奮わせろ,,94,,,65,4
66,誠の道進み チームに流れを呼べ 荒川から架けろ 夢の赤い橋,,1,,,66,5
67,赤く燃え上がる 夢見たこの世界で 研ぎ澄ませそのセンス 打てよ広輔,,2,,,67,5
68,"【前奏：小窪のこ(こ!) 小窪のく(く!) 小窪のぼ(ぼ!)】
鋭く引っ張って 華麗に流し打ち 基本はセンター返し それが小窪哲也",,4,,,68,5
69,前だけを見据えて 新たなステージで 強靭な敵に今 立ち向かえ長野,,5,,,69,5
70,新しい時代に 今手を伸ばせ 終わらぬ夢の先に 導いてくれ,,6,,,70,5
71,光り輝く その道を 翔けぬけて魅せろ 堂林SHOW TIME!,,7,,,71,5
